test,arch,platform,passed,status,extra_args,handler,handler_time,ram_size,rom_size
samples/application_development/external_lib/sample.app_dev.external_lib,arm,96b_argonkey,True,,,na,,16502,13594
samples/basic/blinky/sample.blinky,arm,96b_argonkey,True,,,na,,15032,12088
samples/basic/button/sample.button,arm,96b_argonkey,True,,,na,,15180,12296
samples/basic/threads/sample.threads,arm,96b_argonkey,True,,,na,,25710,21234
samples/boards/96b_argonkey/microphone/sample.board.96b_argonkey.microphone,arm,96b_argonkey,True,,,na,,269058,29656
samples/boards/96b_argonkey/sensors/sample.board.96b_argonkey.sensors,arm,96b_argonkey,True,,,na,,57111,55683
samples/cpp_synchronization/sample.cpp_syncronisation,arm,96b_argonkey,True,,,na,,18194,13218
samples/display/grove_display/sample.display.grove_display,arm,96b_argonkey,True,,,na,,18388,15444
samples/drivers/crypto/sample.driver.crypto.mbedtls,arm,96b_argonkey,True,,CONF_FILE=prj_mtls_shim.conf,na,,41822,47735
samples/drivers/crypto/sample.driver.crypto.mbedtls.micro,arm,96b_argonkey,True,,,na,,32870,31323
samples/drivers/current_sensing/sample.driver.current_sensing,arm,96b_argonkey,True,,,na,,16574,13682
samples/drivers/entropy/sample.driver.entropy,arm,96b_argonkey,True,,,na,,18134,15402
samples/drivers/gpio/sample.driver.gpio,arm,96b_argonkey,True,,,na,,15244,12436
samples/drivers/i2c_fujitsu_fram/sample.driver.i2c_fujitsu_fram,arm,96b_argonkey,True,,,na,,0,0
samples/drivers/led_apa102c_bitbang/sample.driver.led_apa102c_bitbang,arm,96b_argonkey,True,,,na,,0,0
samples/drivers/led_lp3943/sample.driver.led_lp3943,arm,96b_argonkey,True,,,na,,29647,26324
samples/drivers/spi_flash/sample.driver.spi_flash,arm,96b_argonkey,True,,,na,,0,0
samples/drivers/spi_flash/sample.driver.spi_flash_dpd,arm,96b_argonkey,True,,,na,,0,0
samples/drivers/spi_fujitsu_fram/sample.driver.spi_fujitsu_fram,arm,96b_argonkey,True,,,na,,19328,15064
samples/hello_world/sample.helloworld,arm,96b_argonkey,True,,,na,,13740,10828
samples/mpu/mpu_test/sample.mpu.mpu_test,arm,96b_argonkey,True,,,na,,45532,42576
samples/net/sockets/big_http_download/sample.net.sockets.big_http_download,arm,96b_argonkey,True,,,na,,109613,93482
samples/net/sockets/big_http_download/sample.net.sockets.big_http_download.posix,arm,96b_argonkey,True,,,na,,111421,93874
samples/net/sockets/dumb_http_server/sample.net.sockets.dumb_http_server,arm,96b_argonkey,True,,,na,,69724,57740
samples/net/sockets/dumb_http_server/sample.net.sockets.dumb_http_server.posix,arm,96b_argonkey,True,,,na,,71520,58120
samples/net/sockets/dumb_http_server_mt/sample.net.sockets.dumb_http_server_mt,arm,96b_argonkey,True,,,na,,174800,109096
samples/net/sockets/http_client/sample.net.sockets.http_client,arm,96b_argonkey,True,,,na,,118490,113226
samples/net/sockets/http_get/sample.net.sockets.http_get,arm,96b_argonkey,True,,,na,,95929,79542
samples/net/sockets/http_get/sample.net.sockets.http_get.posix,arm,96b_argonkey,True,,,na,,97725,79922
samples/net/sockets/websocket_client/sample.net.sockets.websocket_client,arm,96b_argonkey,True,,,na,,132562,123414
samples/nfc/nfc_hello/sample.nfc.hello,arm,96b_argonkey,True,,,na,,18890,15586
samples/philosophers/sample.philosopher,arm,96b_argonkey,True,,-DDEBUG_PRINTF=1,na,,27784,21920
samples/philosophers/sample.philosopher.coop_only,arm,96b_argonkey,True,,-DDEBUG_PRINTF=1,na,,26730,20910
samples/philosophers/sample.philosopher.fifos,arm,96b_argonkey,True,,-DDEBUG_PRINTF=1 -DFORKS=FIFOS,na,,27784,21920
samples/philosophers/sample.philosopher.lifos,arm,96b_argonkey,True,,-DDEBUG_PRINTF=1 -DFORKS=LIFOS,na,,27784,21920
samples/philosophers/sample.philosopher.preempt_only,arm,96b_argonkey,True,,-DDEBUG_PRINTF=1,na,,27776,21900
samples/philosophers/sample.philosopher.same_prio,arm,96b_argonkey,True,,-DDEBUG_PRINTF=1 -DSAME_PRIO=1,na,,27784,21920
samples/philosophers/sample.philosopher.semaphores,arm,96b_argonkey,True,,-DDEBUG_PRINTF=1 -DFORKS=SEMAPHORES,na,,27784,21920
samples/philosophers/sample.philosopher.stacks,arm,96b_argonkey,True,,-DDEBUG_PRINTF=1 -DFORKS=STACKS,na,,27784,21920
samples/philosophers/sample.philosopher.static,arm,96b_argonkey,True,,-DDEBUG_PRINTF=1 -DSTATIC_OBJS=1,na,,27784,21920
samples/philosophers/sample.philosopher.tracing,arm,96b_argonkey,True,,-DDEBUG_PRINTF=1,na,,27784,21920
samples/portability/cmsis_rtos_v1/philosophers/sample.philosopher,arm,96b_argonkey,True,,-DDEBUG_PRINTF=1,na,,29898,24450
samples/portability/cmsis_rtos_v1/philosophers/sample.philosopher.same_prio,arm,96b_argonkey,True,,-DDEBUG_PRINTF=1 -DSAME_PRIO=1,na,,29898,24450
samples/portability/cmsis_rtos_v1/philosophers/sample.philosopher.semaphores,arm,96b_argonkey,True,,-DDEBUG_PRINTF=1 -DFORKS=SEMAPHORES,na,,29898,24450
samples/portability/cmsis_rtos_v1/timer_synchronization/sample.portability.cmsis_rtos_v1.timer_synchronization,arm,96b_argonkey,True,,,na,,25954,23714
samples/portability/cmsis_rtos_v2/philosophers/sample.philosopher,arm,96b_argonkey,True,,-DDEBUG_PRINTF=1,na,,32612,23924
samples/portability/cmsis_rtos_v2/philosophers/sample.philosopher.same_prio,arm,96b_argonkey,True,,-DDEBUG_PRINTF=1 -DSAME_PRIO=1,na,,32612,23924
samples/portability/cmsis_rtos_v2/philosophers/sample.philosopher.semaphores,arm,96b_argonkey,True,,-DDEBUG_PRINTF=1 -DFORKS=SEMAPHORES,na,,32612,23924
samples/portability/cmsis_rtos_v2/timer_synchronization/sample.portability.cmsis_rtos_v2.timer_synchronization,arm,96b_argonkey,True,,,na,,26354,24030
samples/sensor/bmg160/sample.sensor.bmg160,arm,96b_argonkey,True,,,na,,0,0
samples/sensor/bmm150/sample.sensor.bmm150,arm,96b_argonkey,True,,,na,,0,0
samples/sensor/hmc5883l/sample.sensor.hmc5883l,arm,96b_argonkey,True,,,na,,0,0
samples/sensor/hts221/sample.sensor.hts221,arm,96b_argonkey,True,,,na,,23080,20308
samples/sensor/lps22hb/sample.sensor.lps22hb,arm,96b_argonkey,True,,,na,,22988,20224
samples/sensor/lsm6dsl/sample.sensor.lsm6dsl,arm,96b_argonkey,True,,,na,,32731,28970
samples/sensor/magn_polling/sample.sensor.magn_polling,arm,96b_argonkey,True,,,na,,0,0
samples/sensor/max44009/sample.sensor.max44009,arm,96b_argonkey,True,,,na,,0,0
samples/sensor/mcp9808/sample.sensor.mcp9808,arm,96b_argonkey,True,,,na,,0,0
samples/sensor/sx9500/sample.sensor.sx9500,arm,96b_argonkey,True,,,na,,0,0
samples/sensor/th02/sample.sensor.th02,arm,96b_argonkey,True,,,na,,0,0
samples/sensor/thermometer/sample.sensor.thermometer,arm,96b_argonkey,True,,,na,,19862,17114
samples/sensor/tmp112/sample.sensor.tmp112,arm,96b_argonkey,True,,,na,,0,0
samples/sensor/vl53l0x/sample.sensor.vl53l0x,arm,96b_argonkey,True,,,na,,33823,30647
samples/subsys/console/echo/sample.subsys.console.echo,arm,96b_argonkey,True,,,na,,17416,14064
samples/subsys/console/getchar/sample.subsys.console.getchar,arm,96b_argonkey,True,,,na,,16726,13814
samples/subsys/console/getline/sample.subsys.console.getline,arm,96b_argonkey,True,,,na,,18526,15400
samples/subsys/logging/logger/samples.logger,arm,96b_argonkey,True,,,na,,31251,26672
samples/subsys/logging/logger/samples.logger.rtt,arm,96b_argonkey,True,,,na,,33651,27914
samples/subsys/logging/logger/samples.logger.usermode,arm,96b_argonkey,True,,,na,,0,0
samples/subsys/shell/shell_module/sample.subsys.shell.shell_module,arm,96b_argonkey,True,,,na,,48319,46098
samples/subsys/shell/shell_module/sample.subsys.shell.shell_module.minimal,arm,96b_argonkey,True,,"CONF_FILE=""prj_minimal.conf""",na,,27494,23636
samples/subsys/shell/shell_module/sample.subsys.shell.shell_module.minimal_rtt,arm,96b_argonkey,True,,"CONF_FILE=""prj_minimal_rtt.conf""",na,,29776,24708
samples/synchronization/sample.synchronization,arm,96b_argonkey,True,,,na,,17960,12840
samples/testing/integration/section.subsection,arm,96b_argonkey,True,,,na,,20081,19905
samples/userspace/prod_consumer/sample.userspace.prod_consumer,arm,96b_argonkey,True,,,na,,0,0
samples/userspace/shared_mem/sample.kernel.memory_protection.shared_mem,arm,96b_argonkey,True,,,na,,0,0
tests/application_development/cpp/misc.app_dev.cpp,arm,96b_argonkey,True,,,na,,23797,22977
tests/application_development/gen_inc_file/buildsystem.include_file,arm,96b_argonkey,True,,,na,,21587,22163
tests/application_development/libcxx/misc.app_dev.libcxx,arm,96b_argonkey,True,,,na,,48903,52843
tests/application_development/libcxx/misc.app_dev.libcxx.exceptions,arm,96b_argonkey,True,,,na,,48963,52903
tests/arch/arm/arm_interrupt/arch.interrupt.arm,arm,96b_argonkey,True,,,na,,20793,21109
tests/arch/arm/arm_interrupt/arch.interrupt.no_optimizations,arm,96b_argonkey,True,,,na,,43669,45585
tests/arch/arm/arm_irq_vector_table/arch.interrupt.arm.irq_vector_table,arm,96b_argonkey,True,,,na,,19569,19417
tests/arch/arm/arm_ramfunc/arch.ramfunc,arm,96b_argonkey,True,,,na,,20411,20867
tests/arch/arm/arm_runtime_nmi/arch.interrupt.arm.nmi,arm,96b_argonkey,True,,,na,,22225,22293
tests/arch/arm/arm_thread_swap/arch.arm.swap.common,arm,96b_argonkey,True,,,na,,23388,23319
tests/arch/arm/arm_thread_swap/arch.arm.swap.common.fp_sharing,arm,96b_argonkey,True,,,na,,25956,26639
tests/arch/arm/arm_thread_swap/arch.arm.swap.common.fp_sharing.no_optimizations,arm,96b_argonkey,True,,,na,,49498,51745
tests/arch/arm/arm_thread_swap/arch.arm.swap.common.no_optimizations,arm,96b_argonkey,True,,,na,,45874,47361
tests/arch/arm/arm_zero_latency_irqs/arch.zero_latency_interrupts,arm,96b_argonkey,True,,,na,,20627,20887
tests/benchmarks/app_kernel/benchmark.application,arm,96b_argonkey,True,,,na,,47791,30122
tests/benchmarks/boot_time/benchmark.boot_time,arm,96b_argonkey,True,,,na,,16444,15160
tests/benchmarks/latency_measure/benchmark.latency,arm,96b_argonkey,True,,,na,,29398,23934
tests/benchmarks/sched/benchmark.scheduler,arm,96b_argonkey,True,,,na,,16868,12848
tests/benchmarks/sys_kernel/benchmark.kernel,arm,96b_argonkey,True,,,na,,45018,24802
tests/benchmarks/timing_info/benchmark.timing.default_kernel,arm,96b_argonkey,True,,,na,,32246,27410
tests/benchmarks/timing_info/benchmark.timing.userspace,arm,96b_argonkey,True,,CONF_FILE=prj_userspace.conf,na,,0,0
tests/crypto/mbedtls/crypto.mbedtls,arm,96b_argonkey,True,,,na,,75667,74543
tests/crypto/rand32/crypto.rand32,arm,96b_argonkey,True,,,na,,22017,22709
tests/crypto/rand32/crypto.rand32.random_ctr_drbg,arm,96b_argonkey,True,,CONF_FILE=prj_ctr_drbg.conf,na,,22017,22709
tests/crypto/rand32/crypto.rand32.random_hw_xoroshiro,arm,96b_argonkey,True,,CONF_FILE=prj_hw_random_xoroshiro.conf,na,,22159,22847
tests/crypto/rand32/crypto.rand32.random_sw_systimer,arm,96b_argonkey,True,,CONF_FILE=prj_sw_random_systimer.conf,na,,22017,22709
tests/drivers/build_all/test_build_eeprom,arm,96b_argonkey,True,,CONF_FILE=eeprom.conf,na,,21168,18396
tests/drivers/build_all/test_build_gpio,arm,96b_argonkey,True,,CONF_FILE=gpio.conf,na,,21970,22398
tests/drivers/build_all/test_clock,arm,96b_argonkey,True,,,na,,17742,17770
tests/drivers/counter/counter_basic_api/peripheral.counter,arm,96b_argonkey,True,,,na,,38927,41571
tests/drivers/entropy/api/peripheral.entropy,arm,96b_argonkey,True,,,na,,21387,21863
tests/drivers/gpio/gpio_basic_api/peripheral.gpio,arm,96b_argonkey,True,,,na,,0,0
tests/drivers/i2c/i2c_api/peripheral.i2c,arm,96b_argonkey,True,,,na,,0,0
tests/drivers/i2s/i2s_api/peripheral.i2s,arm,96b_argonkey,True,,,na,,41263,42593
tests/drivers/i2s/i2s_speed/peripheral.i2s.speed,arm,96b_argonkey,True,,,na,,43265,35003
tests/drivers/ipm/peripheral.mailbox,arm,96b_argonkey,True,,,na,,24070,24422
tests/drivers/pinmux/pinmux_basic_api/peripheral.pinmux,arm,96b_argonkey,True,,,na,,0,0
tests/drivers/spi/spi_loopback/peripheral.spi,arm,96b_argonkey,True,,,na,,30700,31331
tests/drivers/uart/uart_async_api/peripheral.uart_async_api,arm,96b_argonkey,True,,,na,,0,0
tests/drivers/uart/uart_basic_api/peripheral.uart,arm,96b_argonkey,True,,,na,,23269,23811
tests/drivers/uart/uart_basic_api/peripheral.uart.poll,arm,96b_argonkey,True,,CONF_FILE=prj_poll.conf,na,,20541,20745
tests/drivers/uart/uart_basic_api/peripheral.uart.shell,arm,96b_argonkey,True,,CONF_FILE=prj_shell.conf,na,,42274,44654
tests/kernel/common/kernel.common,arm,96b_argonkey,True,,,na,,39629,41685
tests/kernel/common/kernel.common.misra,arm,96b_argonkey,True,,,na,,39563,41603
tests/kernel/context/kernel.context,arm,96b_argonkey,True,,,na,,33373,30393
tests/kernel/critical/kernel.critical,arm,96b_argonkey,True,,,na,,28177,25157
tests/kernel/critical/kernel.critical.sam,arm,96b_argonkey,True,,,na,,0,0
tests/kernel/early_sleep/kernel.sleep,arm,96b_argonkey,True,,,na,,23630,23674
tests/kernel/fatal/kernel.common.stack_protection,arm,96b_argonkey,True,,CONF_FILE=prj.conf,na,,0,0
tests/kernel/fatal/kernel.common.stack_protection_arm_fp_sharing,arm,96b_argonkey,True,,CONF_FILE=prj_arm_fp_sharing.conf,na,,0,0
tests/kernel/fatal/kernel.common.stack_protection_armv8m_mpu_stack_guard,arm,96b_argonkey,True,,CONF_FILE=prj_armv8m_mpu_stack_guard.conf,na,,0,0
tests/kernel/fatal/kernel.common.stack_protection_no_userspace,arm,96b_argonkey,True,,CONF_FILE=protection_no_userspace.conf,na,,0,0
tests/kernel/fatal/kernel.common.stack_sentinel,arm,96b_argonkey,True,,CONF_FILE=sentinel.conf,na,,24003,22555
tests/kernel/fifo/fifo_api/kernel.fifo,arm,96b_argonkey,True,,,na,,29047,28311
tests/kernel/fifo/fifo_api/kernel.fifo.poll,arm,96b_argonkey,True,,"CONF_FILE=""prj_poll.conf""",na,,31109,30853
tests/kernel/fifo/fifo_timeout/kernel.fifo.timeout,arm,96b_argonkey,True,,,na,,37653,27985
tests/kernel/fifo/fifo_timeout/kernel.fifo.timeout.poll,arm,96b_argonkey,True,,"CONF_FILE=""prj_poll.conf""",na,,39727,30555
tests/kernel/fifo/fifo_usage/kernel.fifo.usage,arm,96b_argonkey,True,,,na,,25837,25005
tests/kernel/fifo/fifo_usage/kernel.fifo.usage.poll,arm,96b_argonkey,True,,"CONF_FILE=""prj_poll.conf""",na,,27919,27575
tests/kernel/fp_sharing/float_disable/kernel.fp_sharing.float_disable.arm,arm,96b_argonkey,True,,,na,,24999,23403
tests/kernel/fp_sharing/generic/kernel.fp_sharing,arm,96b_argonkey,True,,PI_NUM_ITERATIONS=70000,na,,33018,24178
tests/kernel/fp_sharing/generic/kernel.fp_sharing.arc,arm,96b_argonkey,True,,PI_NUM_ITERATIONS=500,na,,0,0
tests/kernel/gen_isr_table/arch.interrupt.gen_isr_table,arm,96b_argonkey,True,,,na,,18866,19718
tests/kernel/interrupt/arch.interrupt,arm,96b_argonkey,True,,,na,,22759,23523
tests/kernel/lifo/lifo_api/kernel.lifo,arm,96b_argonkey,True,,,na,,26151,25315
tests/kernel/lifo/lifo_usage/kernel.lifo.usage,arm,96b_argonkey,True,,,na,,39761,27633
tests/kernel/mbox/mbox_api/kernel.mailbox.api,arm,96b_argonkey,True,,,na,,34382,31661
tests/kernel/mbox/mbox_usage/kernel.mailbox.usage,arm,96b_argonkey,True,,,na,,24736,23427
tests/kernel/mem_heap/mheap_api_concept/kernel.memory_heap,arm,96b_argonkey,True,,,na,,23901,24145
tests/kernel/mem_pool/mem_pool/kernel.memory_pool,arm,96b_argonkey,True,,,na,,36205,25965
tests/kernel/mem_pool/mem_pool_api/kernel.memory_pool.api,arm,96b_argonkey,True,,,na,,25575,25131
tests/kernel/mem_pool/mem_pool_concept/kernel.memory_pool.concept,arm,96b_argonkey,True,,,na,,27737,26485
tests/kernel/mem_pool/mem_pool_threadsafe/kernel.memory_pool.threadsafe,arm,96b_argonkey,True,,,na,,25761,22969
tests/kernel/mem_pool/sys_mem_pool/kernel.memory_pool.sys,arm,96b_argonkey,True,,,na,,31549,31657
tests/kernel/mem_protect/futex/kernel.futex,arm,96b_argonkey,True,,,na,,0,0
tests/kernel/mem_protect/mem_protect/kernel.memory_protection,arm,96b_argonkey,True,,,na,,0,0
tests/kernel/mem_protect/mem_protect/kernel.memory_protection.armv8m_gap_filling,arm,96b_argonkey,True,,CONFIG_MPU_GAP_FILLING=y,na,,0,0
tests/kernel/mem_protect/obj_validation/kernel.memory_protection.obj_validation,arm,96b_argonkey,True,,,na,,0,0
tests/kernel/mem_protect/protection/kernel.memory_protection.protection,arm,96b_argonkey,True,,,na,,0,0
tests/kernel/mem_protect/stack_random/kernel.memory_protection.stack_random,arm,96b_argonkey,True,,,na,,24637,23209
tests/kernel/mem_protect/stackprot/kernel.memory_protection.stackprot,arm,96b_argonkey,True,,,na,,28805,27177
tests/kernel/mem_protect/sys_sem/kernel.memory_protection.sys_sem,arm,96b_argonkey,True,,,na,,29495,27415
tests/kernel/mem_protect/sys_sem/kernel.memory_protection.sys_sem.nouser,arm,96b_argonkey,True,,,na,,29495,27415
tests/kernel/mem_protect/syscalls/kernel.memory_protection.syscalls,arm,96b_argonkey,True,,,na,,0,0
tests/kernel/mem_protect/userspace/kernel.memory_protection.userspace,arm,96b_argonkey,True,,,na,,0,0
tests/kernel/mem_protect/userspace/kernel.memory_protection.userspace.armv8m_gap_filling,arm,96b_argonkey,True,,CONFIG_MPU_GAP_FILLING=y,na,,0,0
tests/kernel/mem_slab/mslab/kernel.memory_slabs.api.test,arm,96b_argonkey,True,,,na,,26971,22955
tests/kernel/mem_slab/mslab_api/kernel.memory_slabs.api,arm,96b_argonkey,True,,,na,,23299,24347
tests/kernel/mem_slab/mslab_concept/kernel.memory_slabs.concept,arm,96b_argonkey,True,,,na,,25095,23543
tests/kernel/mem_slab/mslab_threadsafe/kernel.memory_slabs.threadsafe,arm,96b_argonkey,True,,,na,,24007,21343
tests/kernel/mp/kernel.multiprocessing,arm,96b_argonkey,True,,,na,,0,0
tests/kernel/msgq/msgq_api/kernel.message_queue,arm,96b_argonkey,True,,,na,,30743,30031
tests/kernel/mutex/mutex_api/kernel.mutex,arm,96b_argonkey,True,,,na,,24815,25099
tests/kernel/mutex/sys_mutex/sys.mutex,arm,96b_argonkey,True,,,na,,0,0
tests/kernel/mutex/sys_mutex/sys.mutex.nouser,arm,96b_argonkey,True,,,na,,29605,26949
tests/kernel/obj_tracing/kernel.object_tracing,arm,96b_argonkey,True,,,na,,40670,29434
tests/kernel/pending/kernel.pending,arm,96b_argonkey,True,,,na,,32411,29759
tests/kernel/pipe/pipe/kernel.pipe,arm,96b_argonkey,True,,,na,,30240,31425
tests/kernel/pipe/pipe_api/kernel.pipe.api,arm,96b_argonkey,True,,,na,,34057,32493
tests/kernel/poll/kernel.poll,arm,96b_argonkey,True,,,na,,35169,35297
tests/kernel/profiling/profiling_api/kernel.profiling,arm,96b_argonkey,True,,,na,,28851,26120
tests/kernel/queue/kernel.queue,arm,96b_argonkey,True,,,na,,30515,29059
tests/kernel/queue/kernel.queue.poll,arm,96b_argonkey,True,,"CONF_FILE=""prj_poll.conf""",na,,32581,31605
tests/kernel/sched/deadline/kernel.sched.deadline,arm,96b_argonkey,True,,,na,,26201,23221
tests/kernel/sched/metairq/kernel.sched.metairq,arm,96b_argonkey,True,,,na,,26555,23403
tests/kernel/sched/preempt/kernel.sched.preempt,arm,96b_argonkey,True,,,na,,28415,24959
tests/kernel/sched/schedule_api/kernel.sched,arm,96b_argonkey,True,,,na,,39991,31299
tests/kernel/sched/schedule_api/kernel.sched.multiq,arm,96b_argonkey,True,,CONF_FILE=prj_multiq.conf,na,,40227,31283
tests/kernel/sched/schedule_api/kernel.sched.multiq_no_timeslicing,arm,96b_argonkey,True,,CONF_FILE=prj_multiq.conf,na,,36893,28777
tests/kernel/sched/schedule_api/kernel.sched_no_timeslicing,arm,96b_argonkey,True,,,na,,36637,28773
tests/kernel/semaphore/semaphore/kernel.semaphore,arm,96b_argonkey,True,,,na,,36879,33823
tests/kernel/sleep/kernel.timing,arm,96b_argonkey,True,,,na,,24998,24902
tests/kernel/smp/kernel.multiprocessing.smp,arm,96b_argonkey,True,,,na,,0,0
tests/kernel/spinlock/kernel.multiprocessing.spinlock,arm,96b_argonkey,True,,,na,,0,0
tests/kernel/stack/stack/kernel.stack.usage,arm,96b_argonkey,True,,,na,,27627,27095
tests/kernel/threads/dynamic_thread/kernel.threads.dynamic,arm,96b_argonkey,True,,,na,,0,0
tests/kernel/threads/no-multithreading/kernel.threads.no-multithreading,arm,96b_argonkey,True,,,na,,13546,14154
tests/kernel/threads/thread_apis/kernel.threads.apis,arm,96b_argonkey,True,,,na,,35135,35319
tests/kernel/threads/thread_init/kernel.threads.init,arm,96b_argonkey,True,,,na,,24673,22521
tests/kernel/tickless/tickless/kernel.tickless,arm,96b_argonkey,True,,,na,,0,0
tests/kernel/tickless/tickless_concept/kernel.tickless.concept,arm,96b_argonkey,True,,,na,,25477,23141
tests/kernel/timer/starve/kernel.timer.starve,arm,96b_argonkey,True,,,na,,24939,25255
tests/kernel/timer/timer_api/kernel.timer,arm,96b_argonkey,True,,,na,,29585,30941
tests/kernel/timer/timer_api/kernel.timer.tickless,arm,96b_argonkey,True,,"CONF_FILE=""prj_tickless.conf""",na,,29669,31029
tests/kernel/timer/timer_monotonic/kernel.timer.monotonic,arm,96b_argonkey,True,,,na,,22459,22755
tests/kernel/workq/work_queue/kernel.workqueue,arm,96b_argonkey,True,,,na,,35381,35569
tests/kernel/workq/work_queue_api/kernel.workqueue.api,arm,96b_argonkey,True,,,na,,36731,36063
tests/kernel/xip/arch.common.xip,arm,96b_argonkey,True,,,na,,20283,20247
tests/lib/c_lib/libraries.libc,arm,96b_argonkey,True,,,na,,22358,23856
tests/lib/fdtable/libraries.os.fdtable,arm,96b_argonkey,True,,,na,,24431,23955
tests/lib/json/libraries.encoding.json,arm,96b_argonkey,True,,,na,,27441,32821
tests/lib/mem_alloc/libraries.libc.minimal.mem_alloc,arm,96b_argonkey,True,,CONF_FILE=prj.conf,na,,26063,26649
tests/lib/mem_alloc/libraries.libc.newlib,arm,96b_argonkey,True,,CONF_FILE=prj_newlib.conf,na,,22583,22871
tests/lib/ringbuffer/libraries.data_structures,arm,96b_argonkey,True,,,na,,25856,27191
tests/lib/sprintf/libraries.libc.sprintf,arm,96b_argonkey,True,,,na,,28857,35985
tests/misc/test_build/test_debug,arm,96b_argonkey,True,,CONF_FILE=debug.conf,na,,25974,24358
tests/net/buf/net.buf,arm,96b_argonkey,True,,,na,,36295,29807
tests/portability/cmsis_rtos_v1/portability.cmsis_rtos_v1,arm,96b_argonkey,True,,,na,,52399,49143
tests/portability/cmsis_rtos_v2/portability.cmsis_rtos_v2,arm,96b_argonkey,True,,,na,,70629,64365
tests/posix/common/portability.posix.common,arm,96b_argonkey,True,,,na,,66903,51187
tests/posix/common/portability.posix.common.newlib,arm,96b_argonkey,True,,,na,,66825,51109
tests/posix/fs/portability.posix.fs,arm,96b_argonkey,True,,,na,,124029,38431
tests/posix/fs/portability.posix.fs.newlib,arm,96b_argonkey,True,,,na,,126243,39911
tests/shell/shell,arm,96b_argonkey,True,,,na,,42469,45493
tests/subsys/debug/tracing/tracing.openocd,arm,96b_argonkey,True,,,na,,18392,13120
tests/subsys/jwt/libraries.encoding.jwt,arm,96b_argonkey,True,,,na,,92097,54953
tests/subsys/logging/log_core/logging.log_core,arm,96b_argonkey,True,,,na,,28962,24359
tests/subsys/logging/log_list/logging.log_list,arm,96b_argonkey,True,,,na,,32700,31561
tests/subsys/logging/log_msg/logging.log_msg,arm,96b_argonkey,True,,,na,,34504,34309
tests/subsys/logging/log_output/logging.log_output,arm,96b_argonkey,True,,,na,,33362,31651
tests/subsys/shell/shell_history/shell.history,arm,96b_argonkey,True,,,na,,41425,41969
tests/ztest/base/testing.ztest.verbose_0,arm,96b_argonkey,True,,CONF_FILE=prj_verbose_0.conf,na,,20259,20215
tests/ztest/base/testing.ztest.verbose_1,arm,96b_argonkey,True,,CONF_FILE=prj_verbose_1.conf,na,,20485,20609
tests/ztest/base/testing.ztest.verbose_2,arm,96b_argonkey,True,,CONF_FILE=prj_verbose_2.conf,na,,20501,20665
tests/ztest/custom_output/testing.ztest.customized_output,arm,96b_argonkey,True,,CONF_FILE=prj_customized_output.conf,na,,20255,20019
tests/ztest/custom_output/testing.ztest.regular_output,arm,96b_argonkey,True,,,na,,20239,20083
samples/application_development/external_lib/sample.app_dev.external_lib,arm,96b_avenger96,True,,,na,,24293,20912
samples/basic/button/sample.button,arm,96b_avenger96,True,,,na,,0,0
samples/basic/threads/sample.threads,arm,96b_avenger96,True,,,na,,33497,28548
samples/cpp_synchronization/sample.cpp_syncronisation,arm,96b_avenger96,True,,,na,,25985,20536
samples/drivers/gpio/sample.driver.gpio,arm,96b_avenger96,True,,,na,,0,0
samples/hello_world/sample.helloworld,arm,96b_avenger96,True,,,na,,21531,18146
samples/philosophers/sample.philosopher,arm,96b_avenger96,True,,-DDEBUG_PRINTF=1,na,,35605,29268
samples/philosophers/sample.philosopher.coop_only,arm,96b_avenger96,True,,-DDEBUG_PRINTF=1,na,,34551,28258
samples/philosophers/sample.philosopher.fifos,arm,96b_avenger96,True,,-DDEBUG_PRINTF=1 -DFORKS=FIFOS,na,,35605,29268
samples/philosophers/sample.philosopher.lifos,arm,96b_avenger96,True,,-DDEBUG_PRINTF=1 -DFORKS=LIFOS,na,,35605,29268
samples/philosophers/sample.philosopher.preempt_only,arm,96b_avenger96,True,,-DDEBUG_PRINTF=1,na,,35597,29252
samples/philosophers/sample.philosopher.same_prio,arm,96b_avenger96,True,,-DDEBUG_PRINTF=1 -DSAME_PRIO=1,na,,35605,29268
samples/philosophers/sample.philosopher.semaphores,arm,96b_avenger96,True,,-DDEBUG_PRINTF=1 -DFORKS=SEMAPHORES,na,,35605,29268
samples/philosophers/sample.philosopher.stacks,arm,96b_avenger96,True,,-DDEBUG_PRINTF=1 -DFORKS=STACKS,na,,35605,29268
samples/philosophers/sample.philosopher.static,arm,96b_avenger96,True,,-DDEBUG_PRINTF=1 -DSTATIC_OBJS=1,na,,35605,29268
samples/philosophers/sample.philosopher.tracing,arm,96b_avenger96,True,,-DDEBUG_PRINTF=1,na,,35605,29268
samples/portability/cmsis_rtos_v1/philosophers/sample.philosopher,arm,96b_avenger96,True,,-DDEBUG_PRINTF=1,na,,37685,31764
samples/portability/cmsis_rtos_v1/philosophers/sample.philosopher.same_prio,arm,96b_avenger96,True,,-DDEBUG_PRINTF=1 -DSAME_PRIO=1,na,,37685,31764
samples/portability/cmsis_rtos_v1/philosophers/sample.philosopher.semaphores,arm,96b_avenger96,True,,-DDEBUG_PRINTF=1 -DFORKS=SEMAPHORES,na,,37685,31764
samples/portability/cmsis_rtos_v1/timer_synchronization/sample.portability.cmsis_rtos_v1.timer_synchronization,arm,96b_avenger96,True,,,na,,33741,31028
